Order_ID,Customer_ID,Order_Date,City,Restaurant_Type,Order_Value,Discount_Percentage,Delivery_Distance_km,Delivery_Time_min,Delivery_Cost,Net_Revenue,Profit,Payment_Mode,Rating,Order_Cancelled,Refund,Repeat_Customer
50001,11310,2025-02-27,Bangalore,Pizza,697,40,5.8,45,78.31,-90.66,-168.97,Card,1,Yes,Yes,Yes
50002,11467,2025-11-29,Pune,Fast Food,337,25,3.4,35,53.69,10.29,-43.4,Wallet,5,No,No,Yes
50003,10199,2025-07-03,Jaipur,South Indian,120,50,6.5,40,81.38,5.4,-75.98,UPI,5,No,No,No
50004,10094,2025-12-05,Mumbai,Pizza,558,10,6.7,41,72.63,107.16,34.53,UPI,3,No,No,No
50005,11248,2025-11-22,Bangalore,Chinese,451,20,6.4,29,66.28,47.42,-18.86,COD,4,No,No,Yes
50006,10822,2025-05-18,Bangalore,Desserts,178,15,1.9,26,29.59,32.46,2.87,Wallet,5,No,No,Yes
50007,11196,2025-07-24,Delhi,Healthy,487,30,6.9,44,85.24,2.44,-82.8,Wallet,4,No,No,No
50008,11084,2025-05-09,Lucknow,Desserts,262,20,8.9,53,114.91,58.64,-56.27,COD,1,Yes,No,No
50009,11026,2025-04-02,Hyderabad,Biryani,270,5,2.1,28,40.71,65.9,25.19,Wallet,5,No,No,Yes
50010,10040,2025-02-27,Lucknow,Desserts,167,40,12.9,72,156.19,24.94,-131.25,Wallet,2,Yes,No,No
50011,11126,2025-03-26,Mumbai,Desserts,285,25,3.8,29,56.27,14.25,-42.02,UPI,4,No,No,Yes
50012,10508,2025-04-26,Bangalore,Biryani,371,0,12.0,59,134.33,136.62,2.29,Card,1,No,No,No
50013,11482,2025-10-20,Hyderabad,Pizza,539,20,2.9,32,49.46,30.78,-18.68,UPI,5,No,Yes,No
50014,10825,2025-06-23,Kolkata,Biryani,547,5,6.2,35,71.82,130.19,58.37,UPI,2,Yes,No,No
50015,10192,2025-05-02,Bangalore,North Indian,558,50,10.4,50,125.7,-101.24,-226.94,Wallet,4,No,No,No
50016,10318,2025-04-08,Mumbai,Healthy,324,0,2.7,21,38.07,91.28,53.21,Card,5,No,No,Yes
50017,10141,2025-11-01,Bangalore,Desserts,399,20,0.8,18,28.72,27.98,-0.74,COD,4,No,No,Yes
50018,10489,2025-05-16,Delhi,South Indian,371,0,4.6,12,63.03,109.22,46.19,COD,4,No,No,Yes
50019,10141,2025-05-06,Delhi,Biryani,271,50,7.0,45,82.78,-33.88,-116.66,Card,4,No,No,No
50020,10542,2025-03-01,Jaipur,Chinese,434,10,6.2,43,63.04,89.28,26.24,Wallet,5,No,No,Yes
50021,11699,2025-05-22,Bangalore,Fast Food,535,15,9.6,44,93.47,92.45,-1.02,UPI,4,No,No,Yes
50022,10757,2025-10-26,Hyderabad,Fast Food,337,50,7.3,49,90.98,-50.56,-141.54,Wallet,3,No,No,No
50023,11272,2025-03-21,Lucknow,Pizza,688,15,7.4,63,117.07,92.56,-24.51,Card,2,No,No,No
50024,10547,2025-03-23,Kolkata,Biryani,263,30,8.4,49,99.07,29.36,-69.71,COD,2,No,No,Yes
50025,10571,2025-02-05,Lucknow,Pizza,433,20,3.7,48,60.16,30.86,-29.3,UPI,4,No,No,Yes
50026,11222,2025-08-11,Delhi,Chinese,483,40,0.8,24,29.96,-66.94,-96.9,Card,5,No,No,No
50027,10746,2025-08-09,Bangalore,South Indian,363,25,4.2,26,59.22,14.31,-44.91,Wallet,4,No,No,Yes
50028,11362,2025-07-14,Pune,Desserts,188,0,3.7,29,56.97,63.56,6.59,Card,5,No,No,Yes
50029,11047,2025-08-31,Kolkata,Healthy,229,25,4.9,38,59.34,22.53,-36.81,Card,4,No,No,No
50030,10051,2025-01-24,Mumbai,North Indian,415,20,5.7,41,80.31,42.5,-37.81,UPI,4,No,No,Yes
50031,11595,2025-08-06,Mumbai,Chinese,244,40,4.3,35,56.84,-18.12,-74.96,Wallet,5,No,No,Yes
50032,11255,2025-09-16,Delhi,Desserts,271,15,3.9,30,37.85,42.37,4.52,Wallet,5,No,No,Yes
50033,10159,2025-05-27,Mumbai,Fast Food,281,15,5.9,38,72.93,55.07,-17.86,Wallet,4,No,No,Yes
50034,10798,2025-10-27,Lucknow,Biryani,321,40,7.4,53,100.34,-13.38,-113.72,Card,3,No,No,No
50035,11000,2025-04-23,Mumbai,North Indian,555,25,2.6,36,29.16,3.35,-25.81,UPI,5,No,No,Yes
50036,10172,2025-11-26,Delhi,Desserts,327,15,5.9,29,78.53,58.29,-20.24,Wallet,4,No,No,No
50037,10040,2025-10-04,Bangalore,Healthy,430,0,5.3,37,64.57,126.4,61.83,UPI,3,No,No,Yes
50038,11156,2025-04-22,Delhi,Pizza,630,25,3.1,36,42.03,1.1,-40.93,Wallet,5,No,No,Yes
50039,10813,2025-04-12,Bangalore,South Indian,243,30,4.5,26,53.65,7.56,-46.09,COD,4,No,No,Yes
50040,10142,2025-09-17,Pune,Biryani,481,15,2.9,39,42.46,53.67,11.21,Wallet,4,No,No,No
50041,10953,2025-08-12,Kolkata,North Indian,524,10,4.4,31,58.55,89.28,30.73,COD,4,No,No,Yes
50042,10373,2025-09-07,Mumbai,Chinese,551,10,2.7,42,49.64,86.12,36.48,Wallet,4,No,No,No
50043,11323,2025-12-31,Hyderabad,Chinese,402,10,6.6,37,69.41,87.84,18.43,Wallet,4,No,No,Yes
50044,10555,2025-06-06,Mumbai,Biryani,471,25,5.6,41,73.89,19.47,-54.42,COD,5,No,No,Yes
50045,10206,2025-04-10,Mumbai,Fast Food,473,0,4.0,34,53.95,128.06,74.11,UPI,5,No,No,Yes
50046,11176,2025-05-26,Delhi,Fast Food,342,15,5.5,39,60.48,56.94,-3.54,COD,3,No,No,Yes
50047,10175,2025-05-08,Bangalore,Chinese,239,20,2.0,17,39.32,24.78,-14.54,UPI,4,No,No,Yes
50048,11563,2025-04-17,Pune,Pizza,559,5,6.7,41,83.47,135.23,51.76,Wallet,3,No,Yes,No
50049,10146,2025-12-18,Mumbai,Pizza,378,5,6.0,45,79.3,100.26,20.96,COD,3,No,No,Yes
50050,11219,2025-10-19,Lucknow,Fast Food,328,10,3.3,31,44.88,59.36,14.48,UPI,5,No,No,No
50051,10188,2025-04-28,Lucknow,Desserts,127,25,0.8,27,29.99,16.19,-13.8,Card,5,No,No,No
50052,11199,2025-08-12,Pune,North Indian,505,25,7.0,50,83.12,26.85,-56.27,UPI,4,No,No,No
